"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to Binary Search Trees page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error for invalid python code in Overview of Trees tryEditor page","0"
"0","","0","Graph","1","0","Verify that user is able to navigate to Practice Questions in the Graph Data Structure page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error for invalid python code in Types of Binary Trees tryEditor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for Implementation in Python page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error when click on Run button without entering code in Implementation Of BST tryEditor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for  Applications of Binary trees page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error when click on Run button without entering code in Binary trees tryEditor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to Implementation Of BST page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error for invalid python code in Traversals-Illustration tryEditor page","0"
"0","","0","Tree Data Structure","1","0","Verify that user is able to see output for valid python code in Types of Trees tryEditor page","0"
"0","","0","Tree Data Structure","1","0","Verify that user is able to see output for valid python code in Overview of Trees tryEditor page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error when click on Run button without entering code in Implementation of Binary Trees tryEditor page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error when click on Run button without entering code in Implementation in Python tryEditor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for Terminologies page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to Types of Binary trees page","0"
"0","","0","Graph","1","0","Verify that user receives an error when clicking on Run button without entering code in Try Editor page of Graph Representations","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for Tree Traversal page","0"
"0","","0","Graph","1","0","Verify that user is able to see output for valid Python code in Try Editor page of Graph Representations","0"
"0","","0","Graph","1","0","Verify that user is able to see output for valid Python code in Graph Try Editor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for  Types of Trees page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for  Implementation Of BST page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error when click on Run button without entering code in Types of Binary Trees tryEditor page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error for invalid python code in Terminologies tryEditor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to Binary Tree Traversals page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for Traversals-Illustration page","0"
"0","","0","Tree Data Structure","1","0","Verify that user is able to see output for valid python code in Implementation in Python tryEditor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to Tree Traversal page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to Implementation of Binary Trees page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error for invalid python code in Tree Traversal tryEditor page","0"
"0","","0","Graph","1","0","Verify that user is able to navigate to Try Editor page for the Graph Representations page","0"
"0","","0","Tree Data Structure","1","0","Verify that user is able to see output for valid python code in Binary trees tryEditor page","0"
"1","","0","Tree Data Structure","0","0","Verify that user is able to navigate to try Editor page for  Binary Tree Traversals page","0"
"0","","0","Tree Data Structure","1","0","Verify that user receives error for invalid python code in Binary trees tryEditor page","0"
