"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","612","Verify that user receives error when click on Run button without entering code in Binary Tree Traversals tryEditor page","","Tue Mar 11 14:39:02 PDT 2025","passed","Tue Mar 11 14:39:02 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Binary Tree Traversals tryEditor page",""
"","3536","Verify that user receives error for invalid python code in Implementation in Python tryEditor page","","Tue Mar 11 14:38:51 PDT 2025","passed","Tue Mar 11 14:38:54 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Implementation in Python tryEditor page",""
"","603","Verify that user receives error when click on Run button without entering code in Applications of Binary trees tryEditor page","","Tue Mar 11 14:39:23 PDT 2025","passed","Tue Mar 11 14:39:23 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Applications of Binary trees tryEditor page",""
"","1700","Verify that user is able to navigate to Try Editor page of Graph","","Tue Mar 11 14:37:00 PDT 2025","passed","Tue Mar 11 14:37:02 PDT 2025","","Graph","Verify that user is able to navigate to Try Editor page of Graph",""
"","3645","Verify that user receives error for invalid python code in Implementation of Binary Trees tryEditor page","","Tue Mar 11 14:39:14 PDT 2025","passed","Tue Mar 11 14:39:17 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Implementation of Binary Trees tryEditor page",""
"","577","Verify that user is able to navigate to Applications of Binary trees page","","Tue Mar 11 14:39:20 PDT 2025","broken","Tue Mar 11 14:39:20 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Applications of Binary trees page",""
"","498","Verify that user is able to navigate to Graph Data Structures page","","Tue Mar 11 14:36:59 PDT 2025","passed","Tue Mar 11 14:37:00 PDT 2025","","Graph","Verify that user is able to navigate to Graph Data Structures page",""
"","574","Verify that user receives error when click on Run button without entering code in Types of Trees tryEditor page","","Tue Mar 11 14:37:52 PDT 2025","passed","Tue Mar 11 14:37:52 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Types of Trees tryEditor page",""
"","1115","Verify that user is able to navigate to Graph Representations page","","Tue Mar 11 14:37:10 PDT 2025","passed","Tue Mar 11 14:37:11 PDT 2025","","Graph","Verify that user is able to navigate to Graph Representations page",""
"","2091","Verify that user is able to navigate to try Editor page for  Binary Search Trees page","","Tue Mar 11 14:39:32 PDT 2025","broken","Tue Mar 11 14:39:34 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Binary Search Trees page",""
"","2455","Verify that user is able to navigate to Overview of Trees page","","Tue Mar 11 14:37:22 PDT 2025","broken","Tue Mar 11 14:37:24 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Overview of Trees page",""
"","840","Verify that user is able to navigate to Graph page of Graph-Data structures page","","Tue Mar 11 14:37:00 PDT 2025","passed","Tue Mar 11 14:37:00 PDT 2025","","Graph","Verify that user is able to navigate to Graph page of Graph-Data structures page",""
"","3543","Verify that user receives an error for invalid Python code in Graph Try Editor page","","Tue Mar 11 14:37:03 PDT 2025","passed","Tue Mar 11 14:37:06 PDT 2025","","Graph","Verify that user receives an error for invalid Python code in Graph Try Editor page",""
"","3612","Verify that user receives error for invalid python code in Binary Search Trees tryEditor page","","Tue Mar 11 14:39:35 PDT 2025","passed","Tue Mar 11 14:39:38 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Binary Search Trees tryEditor page",""
"","2715","Verify that user is able to see output for valid python code in Binary Search Trees tryEditor page","","Tue Mar 11 14:39:38 PDT 2025","passed","Tue Mar 11 14:39:41 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Binary Search Trees tryEditor page",""
"","2849","Verify that user is able to see output for valid python code in Traversals-Illustration tryEditor page","","Tue Mar 11 14:38:19 PDT 2025","passed","Tue Mar 11 14:38:22 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Traversals-Illustration tryEditor page",""
"","2057","Verify that user is able to navigate to try Editor page for  Implementation of Binary Trees page","","Tue Mar 11 14:39:11 PDT 2025","broken","Tue Mar 11 14:39:13 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Implementation of Binary Trees page",""
"","2054","Verify that user is able to navigate to try Editor page for  Types of Binary Trees page","","Tue Mar 11 14:38:37 PDT 2025","broken","Tue Mar 11 14:38:39 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Types of Binary Trees page",""
"","2603","Verify that user is able to see output for valid python code in Types of Binary Trees tryEditor page","","Tue Mar 11 14:38:43 PDT 2025","passed","Tue Mar 11 14:38:45 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Types of Binary Trees tryEditor page",""
"","2404","Verify that user is able to navigate to try Editor page for Overview of Trees page","","Tue Mar 11 14:37:24 PDT 2025","broken","Tue Mar 11 14:37:27 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for Overview of Trees page",""
"","2684","Verify that user is able to navigate to Types of Trees page","","Tue Mar 11 14:37:47 PDT 2025","broken","Tue Mar 11 14:37:50 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Types of Trees page",""
"","4207","Verify that user is able to navigate to Graph data structure page","","Tue Mar 11 14:36:55 PDT 2025","passed","Tue Mar 11 14:36:59 PDT 2025","","Graph","Verify that user is able to navigate to Graph data structure page",""
"","579","Verify that user receives error when click on Run button without entering code in Traversals-Illustration tryEditor page","","Tue Mar 11 14:38:15 PDT 2025","passed","Tue Mar 11 14:38:16 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Traversals-Illustration tryEditor page",""
"","512","Verify that user receives error when click on Run button without entering code in Overview of Trees tryEditor page","","Tue Mar 11 14:37:27 PDT 2025","passed","Tue Mar 11 14:37:27 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Overview of Trees tryEditor page",""
"","2464","Verify that user is able to navigate to Implementation in Python page","","Tue Mar 11 14:38:45 PDT 2025","broken","Tue Mar 11 14:38:48 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Implementation in Python page",""
"","601","Verify that user receives error when click on Run button without entering code in Tree Travesal tryEditor page","","Tue Mar 11 14:38:03 PDT 2025","passed","Tue Mar 11 14:38:04 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Tree Travesal tryEditor page",""
"","2553","Verify that user is able to see output for valid python code in Implementation of Binary Trees tryEditor page","","Tue Mar 11 14:39:17 PDT 2025","passed","Tue Mar 11 14:39:20 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Implementation of Binary Trees tryEditor page",""
"","2622","Verify that user is able to see output for valid python code in Applications of Binary trees tryEditor page","","Tue Mar 11 14:39:27 PDT 2025","passed","Tue Mar 11 14:39:29 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Applications of Binary trees tryEditor page",""
"","2510","Verify that user is able to navigate to Terminologies page","","Tue Mar 11 14:37:36 PDT 2025","broken","Tue Mar 11 14:37:38 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Terminologies page",""
"","2089","Verify that user is able to navigate to try Editor page for  Binary trees page","","Tue Mar 11 14:38:25 PDT 2025","broken","Tue Mar 11 14:38:27 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Binary trees page",""
"","2664","Verify that user is able to see output for valid python code in Tree Traversal tryEditor page","","Tue Mar 11 14:38:08 PDT 2025","passed","Tue Mar 11 14:38:10 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Tree Traversal tryEditor page",""
"","683","Verify that user receives error when click on Run button without entering code in Binary Search Trees tryEditor page","","Tue Mar 11 14:39:34 PDT 2025","passed","Tue Mar 11 14:39:35 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Binary Search Trees tryEditor page",""
"","2694","Verify that user is able to see output for valid python code in Terminologies tryEditor page","","Tue Mar 11 14:37:44 PDT 2025","passed","Tue Mar 11 14:37:47 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Terminologies tryEditor page",""
"","3634","Verify that user receives error for invalid python code in Types of Tree tryEditor page","","Tue Mar 11 14:37:52 PDT 2025","passed","Tue Mar 11 14:37:56 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Types of Tree tryEditor page",""
"","3659","Verify that user receives error for invalid python code in Applications of Binary trees tryEditor page","","Tue Mar 11 14:39:23 PDT 2025","passed","Tue Mar 11 14:39:27 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Applications of Binary trees tryEditor page",""
"","481","Verify that user receives error when click on Run button without entering code in Terminologies tryEditor page","","Tue Mar 11 14:37:40 PDT 2025","passed","Tue Mar 11 14:37:41 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Terminologies tryEditor page",""
"","552","Verify that user is able to navigate to Tree Data Structures page","","Tue Mar 11 14:37:21 PDT 2025","failed","Tue Mar 11 14:37:22 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Tree Data Structures page",""
"","2454","Verify that user is able to navigate to Binary Search Trees page","","Tue Mar 11 14:39:29 PDT 2025","broken","Tue Mar 11 14:39:32 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Binary Search Trees page",""
"","3525","Verify that user receives error for invalid python code in Overview of Trees tryEditor page","","Tue Mar 11 14:37:27 PDT 2025","passed","Tue Mar 11 14:37:31 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Overview of Trees tryEditor page",""
"","1005","Verify that user is able to navigate to Practice Questions in the Graph Data Structure page","","Tue Mar 11 14:37:09 PDT 2025","passed","Tue Mar 11 14:37:10 PDT 2025","","Graph","Verify that user is able to navigate to Practice Questions in the Graph Data Structure page",""
"","3574","Verify that user receives error for invalid python code in Types of Binary Trees tryEditor page","","Tue Mar 11 14:38:39 PDT 2025","passed","Tue Mar 11 14:38:43 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Types of Binary Trees tryEditor page",""
"","2099","Verify that user is able to navigate to try Editor page for Implementation in Python page","","Tue Mar 11 14:38:48 PDT 2025","broken","Tue Mar 11 14:38:50 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for Implementation in Python page",""
"","623","Verify that user receives error when click on Run button without entering code in Implementation Of BST tryEditor page","","Tue Mar 11 14:39:46 PDT 2025","passed","Tue Mar 11 14:39:46 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Implementation Of BST tryEditor page",""
"","2073","Verify that user is able to navigate to try Editor page for  Applications of Binary trees page","","Tue Mar 11 14:39:20 PDT 2025","broken","Tue Mar 11 14:39:23 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Applications of Binary trees page",""
"","671","Verify that user receives error when click on Run button without entering code in Binary trees tryEditor page","","Tue Mar 11 14:38:27 PDT 2025","passed","Tue Mar 11 14:38:27 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Binary trees tryEditor page",""
"","2614","Verify that user is able to navigate to Implementation Of BST page","","Tue Mar 11 14:39:41 PDT 2025","broken","Tue Mar 11 14:39:44 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Implementation Of BST page",""
"","3563","Verify that user receives error for invalid python code in Traversals-Illustration tryEditor page","","Tue Mar 11 14:38:16 PDT 2025","passed","Tue Mar 11 14:38:19 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Traversals-Illustration tryEditor page",""
"","2753","Verify that user is able to see output for valid python code in Types of Trees tryEditor page","","Tue Mar 11 14:37:56 PDT 2025","passed","Tue Mar 11 14:37:59 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Types of Trees tryEditor page",""
"","2552","Verify that user is able to see output for valid python code in Overview of Trees tryEditor page","","Tue Mar 11 14:37:31 PDT 2025","passed","Tue Mar 11 14:37:33 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Overview of Trees tryEditor page",""
"","552","Verify that user receives error when click on Run button without entering code in Implementation of Binary Trees tryEditor page","","Tue Mar 11 14:39:13 PDT 2025","passed","Tue Mar 11 14:39:14 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Implementation of Binary Trees tryEditor page",""
"","550","Verify that user receives error when click on Run button without entering code in Implementation in Python tryEditor page","","Tue Mar 11 14:38:50 PDT 2025","passed","Tue Mar 11 14:38:51 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Implementation in Python tryEditor page",""
"","2077","Verify that user is able to navigate to try Editor page for Terminologies page","","Tue Mar 11 14:37:38 PDT 2025","broken","Tue Mar 11 14:37:40 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for Terminologies page",""
"","2816","Verify that user is able to navigate to Types of Binary trees page","","Tue Mar 11 14:38:34 PDT 2025","broken","Tue Mar 11 14:38:37 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Types of Binary trees page",""
"","565","Verify that user receives an error when clicking on Run button without entering code in Try Editor page of Graph Representations","","Tue Mar 11 14:37:11 PDT 2025","passed","Tue Mar 11 14:37:12 PDT 2025","","Graph","Verify that user receives an error when clicking on Run button without entering code in Try Editor page of Graph Representations",""
"","2053","Verify that user is able to navigate to try Editor page for Tree Traversal page","","Tue Mar 11 14:38:01 PDT 2025","broken","Tue Mar 11 14:38:03 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for Tree Traversal page",""
"","2572","Verify that user is able to see output for valid Python code in Try Editor page of Graph Representations","","Tue Mar 11 14:37:16 PDT 2025","passed","Tue Mar 11 14:37:18 PDT 2025","","Graph","Verify that user is able to see output for valid Python code in Try Editor page of Graph Representations",""
"","2649","Verify that user is able to see output for valid Python code in Graph Try Editor page","","Tue Mar 11 14:37:06 PDT 2025","passed","Tue Mar 11 14:37:09 PDT 2025","","Graph","Verify that user is able to see output for valid Python code in Graph Try Editor page",""
"","2017","Verify that user is able to navigate to try Editor page for  Types of Trees page","","Tue Mar 11 14:37:50 PDT 2025","broken","Tue Mar 11 14:37:52 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Types of Trees page",""
"","2087","Verify that user is able to navigate to try Editor page for  Implementation Of BST page","","Tue Mar 11 14:39:44 PDT 2025","broken","Tue Mar 11 14:39:46 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Implementation Of BST page",""
"","562","Verify that user receives error when click on Run button without entering code in Types of Binary Trees tryEditor page","","Tue Mar 11 14:38:39 PDT 2025","passed","Tue Mar 11 14:38:39 PDT 2025","","Tree Data Structure","Verify that user receives error when click on Run button without entering code in Types of Binary Trees tryEditor page",""
"","3609","Verify that user receives error for invalid python code in Terminologies tryEditor page","","Tue Mar 11 14:37:41 PDT 2025","passed","Tue Mar 11 14:37:44 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Terminologies tryEditor page",""
"","2729","Verify that user is able to navigate to Binary Tree Traversals page","","Tue Mar 11 14:38:57 PDT 2025","broken","Tue Mar 11 14:38:59 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Binary Tree Traversals page",""
"","2028","Verify that user is able to navigate to try Editor page for Traversals-Illustration page","","Tue Mar 11 14:38:13 PDT 2025","broken","Tue Mar 11 14:38:15 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for Traversals-Illustration page",""
"","2627","Verify that user is able to see output for valid python code in Implementation in Python tryEditor page","","Tue Mar 11 14:38:54 PDT 2025","passed","Tue Mar 11 14:38:57 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Implementation in Python tryEditor page",""
"","2555","Verify that user is able to navigate to Tree Traversal page","","Tue Mar 11 14:37:59 PDT 2025","broken","Tue Mar 11 14:38:01 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Tree Traversal page",""
"","2546","Verify that user is able to navigate to Implementation of Binary Trees page","","Tue Mar 11 14:39:09 PDT 2025","broken","Tue Mar 11 14:39:11 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to Implementation of Binary Trees page",""
"","3683","Verify that user receives error for invalid python code in Tree Traversal tryEditor page","","Tue Mar 11 14:38:04 PDT 2025","passed","Tue Mar 11 14:38:08 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Tree Traversal tryEditor page",""
"","402","Verify that user is able to navigate to Try Editor page for the Graph Representations page","","Tue Mar 11 14:37:11 PDT 2025","passed","Tue Mar 11 14:37:11 PDT 2025","","Graph","Verify that user is able to navigate to Try Editor page for the Graph Representations page",""
"","2714","Verify that user is able to see output for valid python code in Binary trees tryEditor page","","Tue Mar 11 14:38:31 PDT 2025","passed","Tue Mar 11 14:38:34 PDT 2025","","Tree Data Structure","Verify that user is able to see output for valid python code in Binary trees tryEditor page",""
"","2044","Verify that user is able to navigate to try Editor page for  Binary Tree Traversals page","","Tue Mar 11 14:38:59 PDT 2025","broken","Tue Mar 11 14:39:02 PDT 2025","","Tree Data Structure","Verify that user is able to navigate to try Editor page for  Binary Tree Traversals page",""
"","3565","Verify that user receives error for invalid python code in Binary trees tryEditor page","","Tue Mar 11 14:38:27 PDT 2025","passed","Tue Mar 11 14:38:31 PDT 2025","","Tree Data Structure","Verify that user receives error for invalid python code in Binary trees tryEditor page",""
